MONITOR_OFFICIAL_NAME,MONITOR_EXP_NAME,DCUM,IP,IS_CABLE_CONNECTED,SELECTED_RS,SECONDS_IRRADIATION,SOURCE_DISTANCE_CM,BLM_SOURCE_TEST_THRESHOLD_GY_S,BLM_REACH_FLAG,BLM_LOCATION,BLM_POSITION
BLMEL.A1R1,BLMEL.01R1.B2I10_BPMSW.1R1,21.31,LHC_IP1,1,RS09,30,1,5.00E-06,Difficult,Ring,Internal
BLMQI.A1R1,BLMQI.01R1.B2I30_MQXA,21.37,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.B1R1,BLMQI.01R1.B1E10_MQXA,23.44,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.C1R1,BLMQI.01R1.B2I20_MQXA,25.63,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.D1R1,BLMQI.01R1.B1E20_MQXA,26.65,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.E1R1,BLMQI.02R1.B2I30_MQXB,29.75,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.A2R1,BLMQI.01R1.B1E30_MQXA,32.3,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.B2R1,BLMQI.02R1.B2I23_MQXB,34.12,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.C2R1,BLMQI.02R1.B1E21_MQXB,35.3,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.D2R1,BLMQI.02R1.B2I22_MQXB,37.41,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.E2R1,BLMQI.02R1.B1E22_MQXB,38.57,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.F2R1,BLMQI.02R1.B2I21_MQXB,40.81,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.G2R1,BLMQI.02R1.B1E23_MQXB,41.81,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.H2R1,BLMQI.03R1.B2I30_MQXA,43.62,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.A3R1,BLMQI.02R1.B1E30_MQXB,46.69,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.B3R1,BLMQI.03R1.B2I20_MQXA,49.65,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.C3R1,BLMQI.03R1.B1E20_MQXA,50.65,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.D3R1,BLMQI.03R1.B2I10_MQXA,53.63,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.A4R1,BLMQI.03R1.B1E30_MQXA,58.72,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMTS.A4R1,BLMTS.04R1.B1E10_TANAR.4R1,139.58,LHC_IP1,1,RS09,30,1,0.05,Difficult,Ring,External
BLMTI.A4R1,BLMTI.04R1.B1E10_TANAR.4R1,139.64,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMTI.B4R1,BLMTI.04R1.B2I10_TCTPV.4R1.B2,144.56,LHC_IP1,1,RS09,30,1,5.00E-07,Medium,Ring,Internal
BLMTS.B4R1,BLMTS.04R1.B2I10_TCTPV.4R1.B2,144.68,LHC_IP1,1,RS09,30,1,0.05,Medium,Ring,Internal
BLMTI.C4R1,BLMTI.04R1.B2I10_TCTPH.4R1.B2,146.68,LHC_IP1,1,RS09,30,1,5.00E-07,Medium,Ring,Internal
BLMTS.C4R1,BLMTS.04R1.B2I10_TCTPH.4R1.B2,146.81,LHC_IP1,1,RS09,30,1,0.05,Medium,Ring,Internal
BLMQI.B4R1,BLMQI.04R1.B2I30_MQY,162.1,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.C4R1,BLMQI.04R1.B1E10_MQY,164.6,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.D4R1,BLMQI.04R1.B2I20_MQY,167.92,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.E4R1,BLMQI.04R1.B1E20_MQY,169.12,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.F4R1,BLMQI.04R1.B2I10_MQY,170.14,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.A5R1,BLMQI.04R1.B1E30_MQY,174.77,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMTI.A5R1,BLMTI.05R1.B1E10_TCL.5R1.B1,185.6,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMTS.A5R1,BLMTS.05R1.B1E10_TCL.5R1.B1,185.6,LHC_IP1,1,RS09,30,1,0.05,Difficult,Ring,External
BLMQI.B5R1,BLMQI.05R1.B2I30_MQML,191.16,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.C5R1,BLMQI.05R1.B1E10_MQML,193.32,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.D5R1,BLMQI.05R1.B2I20_MQML,195.99,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.E5R1,BLMQI.05R1.B1E20_MQML,197.19,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.F5R1,BLMQI.05R1.B2I10_MQML,198.06,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,Internal
BLMQI.A6R1,BLMQI.05R1.B1E30_MQML,202.36,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMEI.A6R1,BLMEI.06R1.B1E10_XRP.A6R1,206.69,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMEI.B6R1,BLMEI.06R1.B1E10_XRP.B6R1,217.7,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMTS.A6R1,BLMTS.06R1.B1E10_TCL.6R1.B1,220.41,LHC_IP1,1,RS09,30,1,0.05,Difficult,Ring,External
BLMTI.A6R1,BLMTI.06R1.B1E10_TCL.6R1.B1,220.43,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.B6R1,BLMQI.06R1.B2I30_MQML_XRP,222.87,LHC_IP1,1,RS09,30,1,5.00E-07,Medium,Ring,Internal
BLMQI.C6R1,BLMQI.06R1.B1E10_MQML_XRP,225.22,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
BLMQI.D6R1,BLMQI.06R1.B2I20_MQML_XRP,227.89,LHC_IP1,1,RS09,30,1,5.00E-07,Medium,Ring,Internal
BLMQI.E6R1,BLMQI.06R1.B1E20_MQML_XRP,229.09,LHC_IP1,1,RS09,30,1,5.00E-07,Difficult,Ring,External
